MarketTrendID,ProductGroupID,TrendDescription,StartDate,EndDate,GrowthRate,Region,CompetitorAnalysis,CustomerSentiment,DemandForecast,TrendScore,CreatedBy
be34516a-deb9-4b9e-930c-ed784a6e2d84,deb9a8f1-fd9a-4034-aa9f-6e384bfdd556,Option ready trouble western car.,2024-02-14,2024-04-05,-0.98,Sao Tome and Principe,Can election morning reflect school couple.,Negative,High,57,Thomas Gordon
6481f63a-30c8-4fd6-be93-5211a72ea978,e916dafb-0783-4fb4-957e-a6a7e13edb23,Animal pass find man fast.,2024-06-03,2024-06-11,-9.05,Guinea,A campaign source professor.,Neutral,High,16,Derrick Reynolds
ebfd24be-1bfd-4816-a3a1-4dcaaa091d31,40386061-0a22-499c-978b-e40fca539092,Also watch wife run behavior recently court.,2024-06-28,2024-06-03,0.84,Lithuania,Effort station by.,Negative,Medium,27,Larry Molina
b4ff38c1-3cb1-475a-9dc4-cff86c424c0b,cf5f7cb6-3ea8-4f13-8fb5-82f6568bffe5,Number wife as from south.,2024-03-26,2024-07-03,15.32,Isle of Man,From run manager cell away mind.,Positive,Medium,83,Melissa Moss
b9ed15f0-b11e-47e2-a80f-c7d155d9bac5,76c65980-f08a-4568-b6ab-972025bcf196,Executive in movement may poor do.,2024-03-04,2024-02-22,7.66,Dominica,Believe expect election night.,Neutral,High,55,Diane Austin
bedee2c4-61a6-4ed3-85d5-1cff5e26f02a,9fe23eab-a333-4b43-a913-577d077cc216,Single at right together coach production.,2024-07-06,2024-03-26,10.62,Colombia,Institution others home job bar exist.,Negative,High,37,Joanna Higgins
e8b07cfd-538b-4c96-bc25-ecc5144f9442,4db3f4af-b967-4d74-bdad-43240bd3ebcd,Least watch whether operation necessary.,2024-04-08,2024-03-07,7.96,Lebanon,Stand bill report.,Neutral,Low,98,Michael Crawford
af37d9f9-be8f-4b6b-9739-559f23a66176,deb9a8f1-fd9a-4034-aa9f-6e384bfdd556,Prevent point glass picture run quite since.,2024-04-17,2024-03-27,20.82,Saint Vincent and the Grenadines,Send state former.,Negative,Medium,45,Carla Edwards
bae67a9d-cab1-4bbd-869c-6d568565aab3,cf5f7cb6-3ea8-4f13-8fb5-82f6568bffe5,Movement law son ball call chair unit investment.,2024-06-30,2024-01-20,17.14,Switzerland,Foreign indeed within example research professional sometimes.,Positive,High,60,Michelle Vega
2363a188-5e04-4708-bd45-420b1f2d200c,2eb83a97-eea8-4111-8928-417d71c55d2d,Case talk provide risk expert key many.,2024-01-06,2024-07-10,12.49,British Virgin Islands,Community any eat also.,Neutral,Medium,80,Craig Mason
1e131fb6-b1a2-49f6-8fb6-412e5ecab11e,f339f62b-efdf-4e3e-ac65-80ae6674cc61,Within middle name debate same.,2024-02-24,2024-02-01,13.65,Pakistan,Turn it draw find.,Positive,High,59,William Gillespie
7eb00826-b7eb-43f0-a7a0-a12ce8f93d34,f76201b2-494c-4d4d-a5d2-3a121dfaa9c0,Manager pass arm couple building animal change fund.,2024-01-12,2024-03-22,18.65,Faroe Islands,Where change brother spend.,Positive,High,50,Adam Donaldson
e530a83f-ba36-43e3-b7cb-0a91c475ebd5,76c65980-f08a-4568-b6ab-972025bcf196,Event state job them.,2024-05-01,2024-02-25,1.61,Holy See (Vatican City State),Whether middle decade player.,Positive,High,63,Sean Rhodes
ed9eaaf6-d4b1-4fc6-8141-7f0aaa27e8d9,f52b037c-6409-4bd2-969e-a0cb44b2886b,Central explain say arrive street.,2024-03-08,2024-05-28,21.22,Qatar,Father despite child thing radio.,Neutral,Medium,2,Ryan Davis
a38d7348-d081-432b-a0af-8de7a74852d4,069354c7-29a4-4657-9862-218627619c15,When then play have.,2024-04-03,2024-02-17,9.85,Bhutan,Let change issue run nice stock success.,Positive,Medium,17,Kurt Lopez
21c7b314-a76a-45e4-bf28-5a7f7f06ed20,50675f88-c045-4ca6-882b-29c017ea798e,Name list lay upon hard hundred.,2024-03-14,2024-02-26,15.17,Indonesia,Down final add investment necessary.,Negative,Low,71,Gordon Williams
54d06144-079a-400a-a85f-3bbf14e567d1,caaf97e8-3085-46e3-87ec-d7daf1d7fe0f,People country different prepare wait.,2024-07-27,2024-01-07,11.47,Sierra Leone,Travel catch huge research.,Positive,High,55,John Owen
b956f682-770b-4fd4-8aad-f90a43e9b3d5,9fe23eab-a333-4b43-a913-577d077cc216,Minute question few old.,2024-03-13,2024-04-09,9.06,Dominica,Would natural laugh.,Negative,Low,44,Antonio Day
