AccessCategoryID,CustomerID,CategoryName,PageViewed,VisitDuration,LastAccessed,DeviceType,BrowserType,ReferralSource,ClicksCount,Conversions
03d3d027-4a3c-4a3f-adf9-f790a85183f3,ea6a4784-c972-4b31-b650-d0f82be9f551,Coach,3,1778,2024-04-16,Desktop,Edge,Social Media,46,4
d317def0-902b-46bd-8c31-5b944c3f14dd,642d928d-b3c4-475b-8931-b3cce50fb984,Help,6,1317,2024-02-11,Tablet,Chrome,Search Engine,50,2
5c984a33-3753-44e0-8c31-9a14cd9c4355,98dc1035-ccf3-41d2-9b4c-0e8bcf21eef8,Charge,18,508,2024-05-22,Desktop,Chrome,Direct,42,0
f0636df5-0d64-442e-86e3-911158f6091e,603fb7af-ec68-42dd-b4dc-26707bfcbecd,Response,7,1413,2024-08-01,Desktop,Firefox,Social Media,19,4
399506dd-a193-43ef-a7fd-1a9b9bc08b8c,79a66689-7909-4336-9bbc-0ef9f3586192,Kitchen,19,727,2024-02-13,Mobile,Safari,Social Media,1,4
162a2cf9-9f87-4ce1-ad2f-892626926c17,baa6df70-cd12-4790-96f2-611269067212,Structure,10,4487,2024-03-21,Mobile,Safari,Direct,37,3
acc6db17-4cfc-4f75-9e82-4254c5b6eac3,85933625-e9df-4d6f-ac2d-32d49faea0c8,Win,3,2702,2024-05-21,Desktop,Safari,Direct,20,4
a07662c0-59c5-47b6-9b88-986213ee53bd,ea834899-9e76-4b45-b113-a28e4ee1df75,Human,12,324,2024-03-13,Tablet,Chrome,Social Media,39,3
e58cb3ef-d779-4fdc-b28b-9159177aaa51,7207957d-0c8e-4eb7-8661-0d4187c357e3,Cultural,14,1922,2024-06-03,Desktop,Edge,Search Engine,1,1
a587dadf-a3f0-4895-9ee7-2b8020fc62ad,c5d476a8-30cf-4c3d-972f-bbcc966990ca,Very,19,3731,2024-04-09,Tablet,Chrome,Social Media,50,0
9e6c2494-cd5f-44fc-acbe-29451a358715,9667d0b7-fab6-4c40-9aa2-ab320d98df7a,President,2,754,2024-02-27,Mobile,Edge,Search Engine,39,1
6c1589a5-e356-48e0-85a2-5b03333a9df2,f7667fd0-54a3-423b-886a-69d59c80b159,Animal,8,4499,2024-05-20,Mobile,Chrome,Direct,26,3
b4c8ad98-5f0c-489b-9f3a-daf3e0defec2,10e25216-c9a0-4f44-bf16-0b4a795f073d,Yes,6,3125,2024-01-10,Mobile,Safari,Social Media,27,4
e6894638-8368-438f-a6c1-90a9f9ff4246,559e0ae1-9a7a-4bdf-8803-cf6c28e2f05a,Ever,17,2928,2024-07-01,Tablet,Firefox,Social Media,3,3
f2d9b38f-271d-4eb5-a6d0-8c3522f31c48,8a997197-df34-48a8-b805-7355f2a409b7,Full,17,400,2024-03-07,Mobile,Safari,Search Engine,47,1
ca94778a-812f-4d7e-b645-a8483fce289e,fdb83134-4729-4afe-ba8b-3cd638a929d5,Serious,7,1749,2024-03-23,Mobile,Firefox,Direct,19,2
31ca8c50-010f-44dd-8cb5-d1f8260d3a91,3089e45b-18ab-4b14-9e82-4272117016e0,Toward,10,1188,2024-01-27,Mobile,Edge,Search Engine,4,3
33b10dd9-04c4-4728-8b7b-fa420076090e,8423825f-6be6-4b40-a283-0f25c2d44b9f,School,19,4087,2024-01-24,Mobile,Edge,Direct,27,3
e8e5bed3-e8d1-4ad0-8cac-7c51e99bc810,9641cb0b-067b-4907-8d23-4f59cc24e7a0,Cup,18,3635,2024-01-10,Tablet,Safari,Direct,42,4
19742834-472a-464b-bbfe-c1e6c7c23575,853c80d8-7f25-4988-a70c-6e4bc405b9ed,Moment,8,1778,2024-05-18,Tablet,Edge,Search Engine,15,4
669a7972-d3bc-46ac-8a9d-eda0229819f2,50bc22b1-78b6-47fc-a48e-62fe265679f7,Increase,3,4436,2024-07-07,Mobile,Firefox,Direct,20,0
7a29b069-4cef-461b-a86c-b9f39b6e7a2b,fecab6ed-f0ff-4f11-9a38-708dfd1469dd,Attention,4,1084,2024-02-04,Tablet,Firefox,Social Media,27,2
03ccfb50-274f-4a65-912a-828cf2558eb4,4c7233e1-ef7c-452b-83c6-e49e1a7fde44,Body,12,1138,2024-04-01,Mobile,Firefox,Social Media,29,5
51c51950-4642-469d-aedc-96ab78173a16,d607c509-4c5b-4744-9641-a0200cbc738e,Big,9,3424,2024-04-02,Mobile,Firefox,Social Media,18,1
4ba64e23-2b93-434c-96e5-01a830dfb7e1,7308a771-3f1f-4328-a709-227bbbfc1a0e,Involve,4,2206,2024-03-23,Desktop,Safari,Search Engine,4,2
475f39b3-3b2d-4972-8c8a-e985f2202456,25156c23-e459-484c-bf02-362f839cfad8,Stuff,4,2952,2024-03-14,Desktop,Firefox,Search Engine,15,1
d9dfd9d3-c75d-4816-91c1-31b8be49eee1,559e0ae1-9a7a-4bdf-8803-cf6c28e2f05a,Sit,7,3110,2024-06-28,Mobile,Safari,Social Media,11,2
5d5c05a8-f269-4e1e-92e8-53e8f095e8e2,388356d6-6cce-45fc-9bfd-0e8ed7b80db8,Under,1,4381,2024-03-14,Tablet,Chrome,Social Media,28,5
f01d683d-9a7b-476c-af04-d7fe842d43c7,8423825f-6be6-4b40-a283-0f25c2d44b9f,Across,9,1656,2024-03-29,Tablet,Safari,Social Media,6,0
fa344981-2e3c-402d-b277-c98751b6f0a6,a521540b-59c1-4c07-982e-97019df55503,Radio,14,4538,2024-03-11,Desktop,Firefox,Direct,8,2
dd278aed-c706-4769-89b3-e60d717d3588,f7667fd0-54a3-423b-886a-69d59c80b159,Actually,10,1435,2024-05-28,Desktop,Safari,Direct,35,4
47d1e810-18bc-4030-b7ef-202e9dc8dd1a,c5d476a8-30cf-4c3d-972f-bbcc966990ca,Common,8,646,2024-01-21,Desktop,Firefox,Search Engine,28,2
a43d5e97-b9e3-493c-9b90-beeb4ccf14c1,d636f2a4-fa09-4f0d-ba2b-2314fa0fa830,Operation,4,1160,2024-05-17,Desktop,Safari,Social Media,9,0
